<https://hqdmtop.github.io/hqdm#agreement_execution>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#agreement_execution>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#socially_constructed_activity>
<https://hqdmtop.github.io/hqdm#agreement_execution_member_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agreement_execution>
<https://hqdmtop.github.io/hqdm#agreement_execution_member_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#class_of_agreement_execution>
<https://hqdmtop.github.io/hqdm#agreement_execution_part_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agreement_execution>
<https://hqdmtop.github.io/hqdm#agreement_execution_part_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#agreement_process>
<https://hqdmtop.github.io/hqdm#agreement_process>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#socially_constructed_activity>
<https://hqdmtop.github.io/hqdm#agreement_process_consists_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agreement_process>
<https://hqdmtop.github.io/hqdm#agreement_process_consists_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#part_of>
<https://hqdmtop.github.io/hqdm#agreement_process_consists_of_>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agreement_process>
<https://hqdmtop.github.io/hqdm#agreement_process_consists_of_>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#agreement_execution>
<https://hqdmtop.github.io/hqdm#agreement_process_member_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agreement_process>
<https://hqdmtop.github.io/hqdm#agreement_process_member_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#class_of_agreement_process>
<https://hqdmtop.github.io/hqdm#amount_of_money>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#physical_object>
<https://hqdmtop.github.io/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#socially_constructed_object>
<https://hqdmtop.github.io/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#state_of_amount_of_money>
<https://hqdmtop.github.io/hqdm#amount_of_money_member_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#amount_of_money>
