<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#reaching_agreement>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N2d9bef426f364fc6a795e12f4f6cd2b0
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N30bb0c560829419a936d74d9fd1529e1
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N7a578b63969443a19d07f38965eca9b8
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N8d0b8ab6e8a84914b19f37786dff6433
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N914eaa6d522441e2b0bc66d342574099
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nb7d22a66e75540b4b6aebbc96f383f6f
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nbbf3d109036c44e492c87054fe74b9b9
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_execution>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_execution>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#socially_constructed_activity>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_execution>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N44b0c7eddde74752b0aaa439fb72fd43
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_execution>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N6f8e4040070549d2ab2ba59cba3ceb7d
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_execution>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N7851c48e6d734fdba2c41ce2ac049b6b
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#socially_constructed_activity>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N39aee1c2ad75406987c124370f87997e
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N628b7c4e5089432a9722104fb675f6f9
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nb16cdcd99cd1488f835ed4c6658aa6e0
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agreement_process>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nce0acee85024409c99f8cee0035bf86d
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#physical_object>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#socially_constructed_object>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N472db6d48cd849d19cee7ad660f02f4f
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N5b7b039d5ba04e809e6f43d8fecaf818
<http://www.semanticweb.org/magma-core/ontologies/hqdm#amount_of_money>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N6070a467e7cb4c6f95f6789485091126
<http://www.semanticweb.org/magma-core/ontologies/hqdm#asset>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#asset>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#participant>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#asset>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N390e00107ba14bc8b388e843f783380b
<http://www.semanticweb.org/magma-core/ontologies/hqdm#asset>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nc14ef4c57450417abccba38a3ee0cb0f
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#individual>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#state_of_association>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N9ef9440db525400ba045520909ec1a02
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nc940ea3b00d24910adeef456a129d515
<http://www.semanticweb.org/magma-core/ontologies/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nf9cc8556e3e145db972a9c6c3325ff11
<http://www.semanticweb.org/magma-core/ontologies/hqdm#beginning>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#ObjectProperty>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#beginning>	<http://www.w3.org/2000/01/rdf-schema#domain>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#spatio_temporal_extent>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#beginning>	<http://www.w3.org/2000/01/rdf-schema#range>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#event>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#beginning_of_ownership>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#beginning_of_ownership>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#event>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#biological_object>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#biological_object>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#physical_object>
